id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
266294,tt1850457,1.376605,30000000,105011053,Sisters,Tina Fey|Amy Poehler|John Leguizamo|Ike Barinholtz|Maya Rudolph,http://www.sistersfilm.com/,Jason Moore,Big sisters don't always know best.,sister sister relationship|childhood home,Two disconnected sisters are summoned to clean out their childhood bedrooms before their parents sell their family home.,118,Comedy,Little Stranger,12/18/15,399,5.9,2015,27599987.8560053,96610126.2515444
326425,tt4382872,0.872149,0,16775,Extraction,Bruce Willis|Gina Carano|Kellan Lutz|D. B. Sweeney|Dan Bilzerian,http://lionsgatepremiere.com/extraction,Steven C. Miller,Vengeance runs in the family.,terrorist|kidnapping|ex cia agent|rescue operation,"A former CIA operative is kidnapped by a group of terrorists. When his son learns there is no plan for his father to be saved, he launches his own rescue operation.",83,Action|Thriller,Emmett/Furla Films|Oasis Films|Aperture Entertainment|Twirly Films Limited,12/18/15,57,4.2,2015,0,15432.9932094829
258509,tt2974918,1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,Jason Lee|Justin Long|Bella Thorne|Matthew Gray Gubler|Jesse McCartney,http://www.foxmovies.com/movies/alvin-and-the-chipmunks-the-road-chip,Walt Becker,Fast & furry-ous,chipmunk|cgi|talking animal|aftercreditsstinger|duringcreditsstinger,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in New York City - and dump them. They have three days to get to him and stop the proposal.",92,Adventure|Animation|Comedy|Family,Regency Enterprises|Fox 2000 Pictures|Sunswept Entertainment|Bagdasarian Productions|TSG Entertainment,12/17/15,278,5.7,2015,0,215055014.135793
373977,tt4146128,0.031635,0,0,Childhood's End,Mike Vogel|Osy Ikhile|Daisy Betts|Georgina Haig|Charles Dance,,Nick Hurran,,,"After peaceful aliens invade earth, humanity finds itself living in a utopia under the indirect rule of the aliens, but does this utopia come at a price?",246,Thriller|TV Movie|Science Fiction|Drama,,12/14/15,21,6.2,2015,0,0
309298,tt3534282,0.204356,0,0,Don Verdean,Sam Rockwell|Jemaine Clement|Amy Ryan|Danny McBride|Will Forte,,Jared Hess,Fraud works in mysterious ways.,pastor|archaeologist|holy land,Biblical archaeologist Don Verdean is hired by a local church pastor to find faith-promoting relics in the Holy Land. But after a fruitless expedition he is forced to get creative in this comedy of faith and fraud.,96,Comedy,Lions Gate Films,12/11/15,26,4,2015,0,0
318846,tt1596363,4.648046,28000000,133346506,The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,http://www.thebigshortmovie.com/,Adam McKay,This is a true story.,bank|fraud|biography|wall street|finances,The men who made millions from a global economic meltdown.,130,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,12/11/15,1545,7.3,2015,25759988.6656049,122678731.541358
325173,tt3511596,0.239496,0,0,Close Range,Scott Adkins|Nick Chinlund|Caitlin Keats|Jake La Botz|Tony Perez,https://www.facebook.com/closerangemovie/,Isaac Florentine,Colton MacReady...is coming home.,,"A rogue soldier turned outlaw is thrust into a relentless fight with a corrupt sheriff, his obedient deputies, and a dangerous drug cartel in order to protect his sister and her young daughter.",80,Crime|Action,Bleiberg Entertainment|Compound B|Underdogg Entertainment|Entropy,12/11/15,41,5,2015,0,0
347969,tt2479478,0.913085,60000000,0,The Ridiculous 6,Adam Sandler|Taylor Lautner|Steve Buscemi|Terry Crews|Danny Trejo,http://www.netflix.com/title/80039517,Frank Coraci,,wild west,"When his long-lost outlaw father returns, Tommy ""White Knife"" Stockburn goes on an adventure-filled journey across the Old West with his five brothers.",119,Comedy|Western,Happy Madison Productions,12/11/15,252,4.8,2015,55199975.7120106,0
277713,tt2262161,0.42179,0,0,Sunset Song,Peter Mullan|Agyness Deyn|Kevin Guthrie|Hugh Ross|Douglas Rankine,,Terence Davies,,,The daughter of a Scottish farmer comes of age in the early 1900s.,135,Drama,Iris productions|Hurricane Films|SellOutPictures,12/4/15,19,7.1,2015,0,0
340275,tt4594834,0.470124,0,0,Chi-Raq,Teyonah Parris|Nick Cannon|Angela Bassett|Jennifer Hudson|Samuel L. Jackson,,Spike Lee,No peace. No piece.,chicago,"A modern day adaptation of the ancient Greek play Lysistrata by Aristophanes, set against the backdrop of gang violence in Chicago.",127,Music|Drama|Crime|Comedy,40 Acres & A Mule Filmworks|Amazon Studios,12/4/15,33,5.9,2015,0,0
340816,tt3703148,0.305916,0,0,Christmas Eve,Patrick Stewart|Cheryl Hines|Gary Cole|Jon Heder|James Roday,http://www.thestuckmovie.com/#menu,Mitch Davis,They'll be home for Christmas...if only in their dreams.,photographer|surgeon|orchestra|doctor|car accident,"Hilarity, romance, and transcendence prevail after a power outage traps six different groups of New Yorkers inside elevators on Christmas Eve.",95,Romance|Comedy,Unstuck,12/4/15,11,5.8,2015,0,0
364067,tt4537842,0.439597999999999,0,0,A Very Murray Christmas,Bill Murray|Paul Shaffer|George Clooney|Miley Cyrus|Michael Cera,http://www.netflix.com/title/80042368,Sofia Coppola,,woman director|christmas,"Bill Murray worries no one will show up to his TV show due to a massive snowstorm in New York City. Through luck and perseverance, guests arrive at Gothamâ€™s Carlyle Hotel to help him â€” dancing and singing in holiday spirit.",56,Comedy|Music,American Zoetrope|South Beach Productions|Departed Productions,12/4/15,101,5.4,2015,0,0
257088,tt2058673,2.614499,105000000,133718711,Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,https://www.facebook.com/PointBreakMovie,Ericson Core,The only law that matters is gravity,undercover|undercover agent|extreme sports|fbi agent|3d,"A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, ""Point Break"".",114,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,12/3/15,505,5.5,2015,96599957.4960187,123021159.990689
371442,tt3482062,0.239558,0,0,Bad Roomies,Patrick Renna|Tommy Savas|Annie Monroe|Jackie Tohn|Page Kennedy,http://www.badroomiesfilm.com,Jason Schnell,,,Two guys find a beautiful young woman to take the place of their missing roommate. Everything seems fine until a horrible mistake on drunken night leads all three on a downward spiral.,93,Comedy,Eastside Films,12/1/15,16,5.1,2015,0,0
291290,tt3236976,0.0552419999999999,0,0,Submerged,Jonathan Bennett|Talulah Riley|Tim Daly|Mario Van Peebles|Cody Christian,,Steven C. Miller,You can't scream and hold your breath at the same time.,,A limo ride turns hellish as several kidnappers set their sights on the young people inside.,99,Thriller|Drama,Twisted Pictures,11/27/15,11,4.6,2015,0,0
306819,tt0810819,2.557859,15000000,64191523,The Danish Girl,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,,Tom Hooper,Find the courage to be yourself.,paris|denmark|copenhagen|artist|art,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",120,Drama,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,11/27/15,867,7.3,2015,13799993.9280026,59056175.1752829
320588,tt3766394,0.673792,1000000,14444999,"Hello, My Name Is Doris",Sally Field|Max Greenfield|Beth Behrs|Stephen Root|Natasha Lyonne,http://www.hellomynameisdorismovie.com/,Michael Showalter,She's not ready to act her age,dating|middle age,A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,95,Comedy|Drama|Romance,Red Crown Productions|Haven Entertainment,11/27/15,87,6.6,2015,919999.595200178,13289393.2326669
287903,tt3850590,1.448002,15000000,61548707,Krampus,Adam Scott|Toni Collette|Allison Tolman|David Koechner|Emjay Anthony,http://www.krampusthefilm.com/,Michael Dougherty,You don't want to be on his list.,fire|winter|santa claus|snow storm|christmas tree,A horror comedy based on the ancient legend about a pagan creature who punishes children on Christmas.,98,Horror|Comedy|Fantasy,Universal Pictures|Legendary Pictures,11/26/15,342,5.9,2015,13799993.9280026,56624785.5250943
312221,tt3076658,2.331567,35000000,137935567,Creed,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,http://creedthemovie.com/,Ryan Coogler,Your legacy is more than a name,underdog|sport|spin off|underground fighting|motivational speaker,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",133,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,11/25/15,1171,7.3,2015,32199985.8320062,126900665.803707
258480,tt2402927,2.883233,11800000,40272135,Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,http://carolfilm.com/,Todd Haynes,Some people change your life forever.,gay|new york|female nudity|chicago|sex,"In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman.",118,Romance|Drama,Killer Films|Film4|Number 9 Films,11/20/15,562,7.1,2015,10855995.2233621,37050347.8978469
296100,tt3530002,2.096273,25000000,52395996,The Night Before,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,https://www.facebook.com/NightBeforeMovie,Jonathan Levine,"Their past, present and future. All in one night.",male friendship|new york city|drug|christmas eve|childhood friend,"In New York City for their annual tradition of Christmas Eve debauchery, three lifelong best friends set out to find the Holy Grail of Christmas parties since their yearly reunion might be coming to an end.",100,Comedy,Sony Pictures|Point Grey Pictures|Good Universe,11/20/15,363,6.1,2015,22999989.8800044,48204295.1101101
334527,tt3687310,0.560743999999999,7000000,0,Criminal Activities,Dan Stevens|John Travolta|Michael Pitt|Jackie Earle Haley|Travis Aaron Wade,,Jackie Earle Haley,Leave the crime to the criminals,mobster|money problems|borrow|trouble|classmates,Four young men make a risky investment together that puts them in trouble with the mob.,94,Thriller|Crime|Drama,NeeNee Productions|Capacity Pictures|May Day Movies,11/20/15,67,5.9,2015,6439997.16640124,0
105864,tt1979388,3.339135,175000000,331926147,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,http://movies.disney.com/the-good-dinosaur,Peter Sohn,Little Arms With Big Attitude,tyrannosaurus rex|friends|animation|alternate history|dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,93,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,11/14/15,1087,6.6,2015,160999929.160031,305371920.876354
328589,tt3722070,1.142518,6000000,41387687,The Lady in the Van,Maggie Smith|Alex Jennings|Frances de la Tour|Gwen Taylor|Dominic Cooper,http://www.bbc.co.uk/bbcfilms/film/the_lady_in_the_van,Nicholas Hytner,A mostly true story,based on novel|biography|based on true story,"The true story of the relationship between Alan Bennett and the singular Miss Shepherd, a woman of uncertain origins who â€˜temporarilyâ€™ parked her van in Bennettâ€™s London driveway and proceeded to live there for 15 years.",104,Comedy|Drama,BBC Films|TriStar Productions,11/13/15,135,5.9,2015,5519997.57120106,38076655.2862716
334531,tt3719896,0.261717,20000000,0,My All American,Aaron Eckhart|Finn Wittrock|Robin Tunney|Sarah Bolger|Michael Reilly Burke,http://www.myallamerican.com/,Angelo Pizzo,Hope never quits,american football|biography|sport|championship,"Freddie Steinmark, an underdog on the gridiron, faces the toughest challenge of his life after leading his team to a championship season.",118,Drama,Paul Schiff Productions|Anthem Productions,11/13/15,19,6.9,2015,18399991.9040035,0
336004,tt3276924,1.449072,8900000,50136,Heist,Jeffrey Dean Morgan|Robert De Niro|Kate Bosworth|Dave Bautista|Gina Carano,,Scott Mann,Never make a bet you can't afford to lose.,casino|robbery|bus hijacking|heist,"A father is without the means to pay for his daughter's medical treatment. As a last resort, he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus.",93,Crime|Action|Thriller,Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures,11/13/15,233,5.4,2015,8187996.39728158,46125.0997049561
363889,tt4483220,0.170743,0,0,The Funhouse Massacre,Robert Englund|Clint Howard|Courtney Gains,,Andy Palmer,,,Six of the worlds scariest psychopaths escape from a local Asylum and proceed to unleash terror on the unsuspecting crowd of a Halloween Funhouse whose themed mazes are inspired by their various reigns of terror.,90,Comedy|Horror,,11/13/15,13,6.1,2015,0,0
367735,tt5069564,0.01705,0,0,John Mulaney: The Comeback Kid,John Mulaney,,Rhys Thomas,,stand up comedy,"Armed with boyish charm and a sharp wit, the former ""SNL"" writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton.",62,Comedy,3 Arts Entertainment|Irwin Entertainment,11/13/15,19,6.7,2015,0,0
228066,tt1976009,1.138395,40000000,34227298,Victor Frankenstein,James McAvoy|Daniel Radcliffe|Jessica Brown Findlay|Andrew Scott|Charles Dance,http://www.foxmovies.com/movies/victor-frankenstein,Paul McGuigan,Discover the origin of the monster and his creation.,london|frankenstein|human experiment|reanimated corpse|frankenstein's monster,Eccentric scientist Victor Von Frankenstein creates a grotesque creature in an unorthodox scientific experiment.,109,Drama|Science Fiction|Thriller,Twentieth Century Fox Film Corporation|Davis Entertainment|Moving Picture Company (MPC)|TSG Entertainment,11/10/15,408,5.5,2015,36799983.8080071,31489100.3047958
325843,tt4333210,0.026797,0,0,The Outfield,Cameron Dallas|Hamilton Nash Grier|Olivia Stuck|Joey Bragg|Caroline Sunshine,,Michael Goldfine,,,The film follows a trio of varsity baseball players as they enter their senior year of high school and navigate difficult choices on and off the field.,0,Drama|Comedy,,11/10/15,20,6.6,2015,0,0
366929,tt4781700,0.0522169999999999,0,0,One Soldier's Story: The Journey of American Sniper,Bradley Cooper|Sienna Miller|Jason Hall|Clint Eastwood|Taya Kyle,,Gary Leva,,,"Join director Clint Eastwood and his creative team, along with Bradley Cooper and Sienna Miller, as they overcome enormous creative and logistic obstacles to make a film that brings the truth of Navy SEAL Chris Kyle's story to the screen.",30,Romance|War|Documentary|Drama,,11/7/15,14,5.6,2015,0,0
312831,tt2474976,0.719407,0,0,The Hallow,Joseph Mawle|Bojana NovakoviÄ‡|Michael McElhatton|Gary Lydon|Stuart Graham,http://www.corinhardy.com/the-woods/,Corin Hardy,Nature has a dark side.,baby|fairy tale|tree|transformation|mill,A family who moved into a remote mill house in Ireland finds themselves in a fight for survival with demonic creatures living in the woods.,97,Fantasy|Horror,Prescience|Bord Scannan na hEireann / Irish Film Board|Fantastic Films|Altitude Film Entertainment|Occupant Entertainment,11/6/15,122,4.9,2015,0,0
314365,tt1895587,4.062293,20000000,88346473,Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,http://www.spotlightthefilm.com,Tom McCarthy,Break the story. Break the silence.,child abuse|journalism|judge|florida|boston,"The true story of how The Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",128,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,11/6/15,1559,7.8,2015,18399991.9040035,81278719.3973634
318922,tt2474958,0.438409,0,0,Kill Your Friends,Nicholas Hoult|Craig Roberts|Georgia King|Tom Riley|Jim Piddock,http://www.killyourfriendsfilm.co.uk/,Owen Harris,Getting to the top can be murder,magazine|music,"In the late 1990s, a drug-addled nihilist resorts to murder to climb the ladder of the London music industry.",100,Thriller|Comedy|Crime,Altitude Film Entertainment|AI-Film|Unigram,11/6/15,54,5.5,2015,0,0
353610,tt4151192,0.270408,0,0,The Condemned 2,Wes Studi|Steven Michael Quezada|Monique Candelaria|Dylan Kenin|Alex Knight,,Roel ReinÃ©,The world's deadliest game is back online,,"A former bounty hunter who finds himself on the run as part of a revamped Condemned tournament, in which convicts are forced to fight each other to the death as part of a game that's broadcast to the public.",90,Action,WWE Studios,11/6/15,13,4,2015,0,0
365805,tt4227282,0.411416,0,0,Wrecker,Anna Hutchison|Andrea Whitburn|Jennifer Koenig|Don Knodel|Michael Dickson,,Michael Bafaro,You Stop You Die,,"Best friends Emily and Lesley go on a road trip to the desert. When Emily decides to get off the highway and take a ""short cut,"" they become the target of a relentless and psychotic trucker who forces them to play a deadly game of cat and mouse. (IMDB)",83,Thriller|Action|Horror,IW Wrecker Productions,11/6/15,12,3.6,2015,0,0
367326,tt5184298,0.208491,0,0,Cosmic Scrat-tastrophe,Chris Wedge|Ray Romano|John Leguizamo|Denis Leary,,Mike Thurmeier|Galen T. Chu,,,Scrat struggles once again to protect his nut.,5,Science Fiction|Comedy|Animation|Family,Twentieth Century Fox Film Corporation|Blue Sky Studios,11/6/15,33,7.7,2015,0,0
227973,tt2452042,2.140199,99000000,246233113,The Peanuts Movie,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,http://www.peanutsmovie.com/,Steve Martino,The story of an underdog. And his dog.,based on comic strip|family|3d|charlie brown|snoopy,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest back home.",88,Adventure|Animation|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,11/5/15,414,6.4,2015,91079959.9248176,226534364.284879
360203,tt3593046,0.253157,0,0,Lost in the Sun,Josh Duhamel|Josh Wiggins|Lynn Collins|Emma Fuhrmann|Larry Jack Dotson,,Trey Nelson,How far can one man go?,robbery,A small time crook and a newly-orphaned teenage boy team up to perform a string of robberies.,95,Action|Crime|Drama|Thriller,,11/5/15,31,5.5,2015,0,0
366142,tt5223342,0.344994,0,0,Minions: The Competition,Pierre Coffin|Chris Renaud,,Kyle Balda|Julien Soret,,minions,Two minions working in a bomb lab get competitive.,4,Animation,Illumination Entertainment,11/4/15,16,5.9,2015,0,0
337029,tt4086032,0.473344,0,0,Frankenstein,Carrie-Anne Moss|Danny Huston|Xavier Samuel|Tony Todd,,Bernard Rose,Man is the true monster,frankenstein,"After he is artificially created, then left for dead by a husband-and-wife team of eccentric scientists, Adam is confronted with nothing but aggression and violence from the world around him. This perfect creation-turned disfigured monster must come to grips with the horrific nature of humanity.",89,Horror|Thriller,Eclectic pictures|Summerstorm Entertainment|Bad Badger,11/3/15,14,4.5,2015,0,0
355338,tt4941804,0.442835,0,0,Riley's First Date?,Amy Poehler|Phyllis Smith|Bill Hader|Lewis Black|Mindy Kaling,,Josh Cooley,,mother daughter relationship|rock music|girl|father daughter relationship|boyfriend,"Riley, now 12, is hanging out at home with her parents in San Francisco when potential trouble comes knocking: a boy shows up at the door.",5,Animation|Family,Walt Disney Pictures|Pixar Animation Studios,11/3/15,137,7.3,2015,0,0
332502,tt3774790,0.644786,0,0,400 Days,Caity Lotz|Brandon Routh|Tom Cavanagh|Dane Cook|Ben Feldman,http://www.naafilms.com/#400days,Matt Osterman,Time to Kill,spacecraft|experiment|simulation|space|astronaut,"4 would be astronauts spend 400 days in a land locked space simulator to test the psychological effects of deep space travel but, when something goes terribly wrong and they are forced to leave the simulation, they discover that everything on earth has changed. Is this real or is the simulation on a higher level than they could have ever imagined?",91,Mystery|Science Fiction|Thriller,New Artists Alliance,10/29/15,98,4.2,2015,0,0
363869,tt4835298,0.244648,0,0,Belli di papÃ ,Diego Abatantuono|Matilde Gioli|Andrea Pisani|Antonio Catania|Nicola Nocella,,Guido Chiesa,,,"Italian remake of the Mexican 2013 hit, ""We the nobles""",100,,,10/29/15,21,6.1,2015,0,0
294016,tt3203606,1.316239,15000000,8235661,Trumbo,Bryan Cranston|Diane Lane|Helen Mirren|Elle Fanning|Louis C.K.,,Jay Roach,Are you now or have you ever been...,screenwriter|communist|biography|film history|hollywood,The career of screenwriter Dalton Trumbo is halted by a witch hunt in the late 1940s when he defies the anti-communist HUAC committee and is blacklisted.,124,Drama,Groundswell Productions|Inimitable Pictures|ShivHans Pictures,10/27/15,273,7.2,2015,13799993.9280026,7576804.78620589
365717,tt4016250,0.082569,0,0,The Audition,Leonardo DiCaprio|Brad Pitt|Robert De Niro|Martin Scorsese|Rodrigo Prieto,,Martin Scorsese,A short film with big egos.,casino,A short film promoting the opening of Melco-Crown's movie-themed resort and casino in Macau.,16,Comedy,RatPac Entertainment|Melco-Crown Entertainment (MCE),10/27/15,10,6.1,2015,0,0
365806,tt4856322,0.810667,0,0,Halo: The Fall of Reach,Steve Downes|Jen Taylor|Michelle Lukes|Travis Willingham|Brittany Uomoleale,,Ian Kirby,An Unstoppable Threat. An Unthinkable Sacrifice.,video game|based on novel|space war|animation|halo,"Relive the origin of the legendary Master Chief and the Spartan program in this three-part animated adaptation of one of Halo's most beloved stories. Kidnapped as children and conscripted into a brutal military training and augmentation program, the Spartans were designed to be the ultimate weapon against chaos and insurgency - but when a dangerous alien alliance known as the Covenant declares war on humanity, the Spartans might be our only hope.",67,Action|Animation|Science Fiction,343 Industries|The Sequence Group,10/27/15,32,5.3,2015,0,0
206647,tt2379713,6.200282,245000000,880674609,Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,http://www.sonypictures.com/movies/spectre/,Sam Mendes,A Plan No One Escapes,spy|based on novel|secret agent|sequel|james bond,"A cryptic message from Bondâ€™s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",148,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,10/26/15,3254,6.2,2015,225399900.824043,810220283.783075
363689,tt4229298,0.5327,0,0,The Unspoken,Jodelle Ferland|Sunny Suljic|Neal McDonough|Matt Bellefleur|Fulvio Cecere,,Sheldon Wilson,,,In 1997 the close-knit Anderson family vanished from their home without a trace. No bodies were ever found and no explanation satisfied curiosity. For 17 years the house has remained undisturbed...until now. This eerily expert frightener is further enlivened by terrific performances from â€˜Suitsâ€™/â€™Arrowâ€™ star Neal McDonough and SILENT HILL/THE TALL MAN/TIDELANDâ€™s Jodelle Ferland.,90,Thriller|Horror,Lighthouse Pictures|Sapphire Fire Limited,10/24/15,10,4.1,2015,0,0
273477,tt1727776,1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Tye Sheridan|Logan Miller|Joey Morgan|Sarah Dumont|David Koechner,http://www.scoutsandzombiesmovie.com/,Christopher B. Landon,Always bring protection.,female nudity|shotgun|nudity|strip club|party,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the worldâ€™s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, theyâ€™ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",93,Comedy|Horror,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment,10/23/15,288,6.2,2015,13799993.9280026,13671898.7043645
